考点,预期片段
契税额度计算（掌握）-需要内化,"对存量房契税的计算，可总结如下表：
契税计算总结
购买人
用途
套数
建筑面积
计算公式
个人
住宅
首套
≤140㎡
计税核定价×1%
＞140㎡
计税核定价×1.5%
二套
≤140㎡
计税核定价×1%
＞140㎡
计税核定价×2%
三套及以上
无论面积多大
计税核定价×3%
公司
住宅
无论套数
无论面积多大
计税核定价×3%
个人
非住宅
无论套数
无论面积多大
计税核定价×3%
【例】客户李佳泽，已婚，吉安户籍，名下已有两套位于吉州区的住宅。现欲购买杨丽名下位于青原区上江界满5年唯一的普通住宅，建筑面积为110㎡，网签价为80万元，税务核定价为75万元，请计算李佳泽购买杨丽名下住宅时需要缴纳的契税。
【解】1.李佳泽名下已有两套住宅，再购买属于三套；因此适用税率为3%；"
低层住宅、多层住宅、高层住宅和超高层住宅（掌握）,"依据《民用建筑设计统一标准》，按建筑高度分类，地上建筑高度不超过27米的，为低层或多层住宅；超过27米且低于100米的，为高层住宅；超过100米的，为超高层住宅。按层数划分时，1~3层为低层住宅，4~9层为多层住宅，10层及以上为高层住宅（概括如下表）。这里的层数是指建筑的地上实际总层数，而不是为了回避特定数字的标示层数。
类型
低层住宅
多层住宅
高层住宅
超高层住宅
层数
1～3
4～9
≥ 10
——
地上建筑高度
≤ 27米
27米 < x ≤ 100米
> 100米
在实践中，对于高层住宅楼，根据特定房屋所在层数在其建筑中的相对位置，也分为高楼层住宅、中楼层住宅、低楼层住宅，但没有统一判定标准。高楼层住宅的优点是采光好、视野好、灰尘少、噪音小、不易潮湿。低楼层住宅的优点是出入方便、不太担心电梯故障、灾害发生时易逃生。老年人和行动不便人士一般适宜选择低楼层。"
对经纪人好（熟悉）,格林互助计划前身是链家集团互助金，成立于2008年10月。格林互助作为社会保障之外的有益补充，旨在当会员及其家属遭受疾病、意外等情形时，给予一定的资金帮助，和伙伴们一起共渡难关。截至2025年7月，格林互助累计救助超5万人次，总救助金额超7亿元。
个人所得税税额计算（掌握）-需要内化,"个人所得税计算总结（以住宅为例）
交易房屋情况
征收情况
税率
计算方式
满五年唯一
免征
—
免征个人所得税
无法追溯到购房原值
全额征收
1%
网签价格≥核定价格÷1.05：（网签价格-本次增值税）×1%
网签价格＜核定价格÷1.05：核定价格÷1.05×1%
有原值且能提供原始契税票据
差额
征收
20%
网签价格≥核定价格÷1.05：（网签价格-本次增值税及附加-原值-原契税-网签价格×10%-贷款利息）×20%
网签价格＜核定价格÷1.05：（核定价格/1.05-本次附加税-原值-原契税-核定价格×10%-贷款利息）×20%
【例】冯烈，48周岁，已婚，分别在西城区和朝阳区有住宅，现欲出售名下位于西城区的商品房，是冯烈在2012年贷款购买，建筑面积124㎡，原值420万，原契税63000元，出售时网签价为630万元，核定价格为550万元，请计算冯烈在出售该套住宅时需要缴纳的个人所得税。
【解】1.本次需缴纳增值税及附加金额为（630-420）÷1.05×5.3%=10.6（万元）；"
新房作业术语（熟悉）,城市新房为开发商提供渠道服务，开发商需向贝壳支付一定金额的结佣保证金（即预付佣金）以担保佣金及时支付，达到一定条件后转化为佣金回款，缩短回佣周期，较大程度提高经纪人的积极性，实现项目聚焦和快速去化。
一二手联动作业工具（掌握）-需要核实,在一二手过程中，经纪人可以借助系统功能，深入挖掘库存客户与新房楼盘的匹配情况。新房潜客工具专为经纪人和门店管理者设计，旨在作业新房时实现精准客户识别，并为客户高效配盘。当前根据客类型分为三类：新房好客、二推一潜客、业主潜客。
新房带看（掌握）-需要核实,在新房业务中，带看是指经纪人带客户到项目售楼处听取销售讲解，查看样板间，确认交付标准，以及实地勘察项目工地区位和配套设施（包括已规划待施工、正在施工的配套及已投入使用的配套建筑）。此处着重说明与存量房带看的差异点和需要重点关注的内容。
贝壳的使命（掌握）,有尊严的服务者，更美好的居住。
房源聚焦产品（熟悉）-需要核实,为了鼓励大家多聚焦，增加聚焦效果和提升房源去化率，商圈聚焦房享有专属权益，包括但不限于业主告知书、点点通免费用、必看好房流量倾斜、维护人固定黄金展位和维护助手打折。
真房源录入标准（掌握）-需要核实,经纪人在合规获取房源委托信息后，必须在1小时内将委托类型、委托来源、物业地址、业主姓名、联系方式等信息录入内网作业系统。在录入内网作业系统前，不得进行任何房源推广、带看、收定金等业务动作。
